"FLIR_ID_Date","photo_type","date","site"
"FLIR2093_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2095_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2097_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2099_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2101_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2103_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2105_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR1529_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1531_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1533_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1535_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1539_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1541_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1543_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1545_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1547_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1549_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1551_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1553_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1555_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1557_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1559_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1561_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1563_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1565_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1567_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1571_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1573_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1575_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1577_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1579_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1581_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1583_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1585_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1587_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1589_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1591_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1592_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1595_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1597_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1599_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1601_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1603_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1605_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1607_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1609_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1611_2024-05","transect",2024-05-29,"Phelps Pond"
"FLIR1935_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1937_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1939_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1941_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1943_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1945_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1947_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1949_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1959_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1953_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1955_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1957_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1959_2024-07","transect",2024-07-08,"Tuttle Pond"
"FLIR1961_2024-07","transect",2024-07-08,"Tuttle Pond"
